# id	sub	tier	score	bounty	ncom	ageH	op_since	op_nitems	hits	tags	title
1532098	Photography	3	267	0	2	30.9	984933	1734	recent@history		Women sorting cocoa pods, Jamaica, c. 1900
1532336	AskSN	2	248	0	7	19.5	984933	1734	recent@AskSN|top@AskSN	SELF_POST_OPP	Daily Discussion Thread ~AskSN
1532262	AI	1	230	0	0	23.5	1054143	1003	recent@bitcoin|top@bitcoin|recent@AI		Lightning Labs’ Wavelength: Bitcoin’s Third Ark for AI Agents [By Marcus Okafor]
1531924	AskSN	2	184	0	1	35.9	976996	10	recent@AskSN		Soberanía digital: Bitcoin, claves y reputación
1532294	news	2	180	0	2	21.4	296825	4985	recent@bitcoin|top@bitcoin|recent@news		What Happened to NoBullshitBitcoin? It's been over a year now.
1532699	bitcoin	1	168	0	0	12.1	1532699	5	recent@bitcoin_beginners|top@bitcoin_beginners|recent@bitcoin_Mining		Bitaxe Gamma setup – Braiins + Lightning to Speed Wallet. Anything you'd change?
1531984	bitcoin	1	151	0	1	34.3	296825	4985	recent@bitcoin_beginners|recent@lightning|recent@AskSN		Someone seems to be picking at advocates for real Bitcoin adoption
1532271	bitcoin	1	140	0	1	22.9	296825	4985	recent@bitcoin_beginners|top@bitcoin_beginners|recent@bitdevs		A Cypherpunk's Manifesto
1531945	AskSN	2	138	0	1	35.5	976996	10	recent@AskSN		¿Cuál es tu estrategia actual para la gestión de canales en LN?
1532365	Stacker_Stocks	2	127	0	1	19.0	9274	25403	recent@Stacker_Stocks|top@Stacker_Stocks		🛬 Crude airline earnings - Snacks
1532234	AI	1	125	0	0	25.0	296825	4985	recent@AI		DeepSeek Is Playing the Long Game
1532261	news	2	96	0	0	23.7	296825	4985	recent@bitcoin_beginners|top@bitcoin_beginners|recent@econ		Citadel Wire: 2026-07-25 | BLOCK 959513
1532660	AI	1	89	0	0	13.2	1248037	1836	recent@AI|top@AI|recent@science		People are deceiving the justice system with AI | Hacker News
1532964	math	2	86	0	0	3.6	1248037	1836	recent@math|top@math		Some combinatorial applications of spacefilling curves
1532570	bitcoin_beginners	1	63	0	0	14.9	296825	4985	recent@bitcoin_beginners|top@bitcoin_beginners|recent@lightning		African Bitcoiners Hall Of Fame
1532712	art	3	56	0	0	11.6	1524149	10	recent@podcasts|top@podcasts		Airbrushes & Airplanes, Journal the Journey
1532729	bitcoin	1	54	0	0	11.1	296825	4985	recent@bitcoin_beginners|top@bitcoin_beginners		Adam Back Hid a Convicted Felon's Control of Billions
1532999	lightning	1	21	0	1	1.2	1473003	39	recent@lightning|top@lightning	FRESH	I made a deep-sea STG where you collect "Sats" ⚡️ (Playable in Browser!)
1532998	bitcoin	1	0	0	0	1.3	1527756	5	recent@bitcoin_beginners|top@bitcoin_beginners|recent@bitdevs	FRESH	Hrushikesh Jetti : Check out this blog
1532996	bitcoin	1	0	0	0	1.3	296825	4985	recent@bitcoin_beginners|top@bitcoin_beginners|recent@lightning	FRESH	Some Are Quietly Moving to This Island
1532247	bitcoin	1	0	0	1	24.5	296825	4985	recent@bitcoin_beginners|recent@lightning		The biggest debate isn't about fiat price tag
1533001	bitdevs	1	0	0	1	0.8	1527756	5	recent@bitdevs|top@bitdevs|recent@devs	FRESH	Chapter 1: The secp256k1 Elliptic Curve — Complete Specification
1532215	science	2	0	0	1	25.3	1248037	1836	recent@science		Introduction To Civil Engineering
1532214	science	2	0	0	0	25.3	1248037	1836	recent@science		Fundamental Principles of Mechanical Design
1532739	tech	1	0	0	0	10.9	238412	204	recent@ideasfromtheedge|top@ideasfromtheedge		Bitchat India Ban: The Protocol Always Wins
